symbol,yf_ticker,company_name,industry,source,snapshot_date,active_for_v1,series,isin_code
ABB,ABB.NS,ABB India Ltd.,Capital Goods,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE117A01022
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE931S01010
ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE423A01024
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,Power,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE364U01010
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE742F01042
ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,Power,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE814H01029
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE079A01024
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE437A01024
ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE021A01026
DMART,DMART.NS,Avenue Supermarts Ltd.,Consumer Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE192R01011
AXISBANK,AXISBANK.NS,Axis Bank Ltd.,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE238A01034
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE917I01010
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE296A01032
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,NSE/Nifty Indices current NIFTY 100 constituent file,2026-07-14,True,EQ,INE918I01026
