feature_order,feature
1,return_1d
2,return_5d
3,return_20d
4,return_60d
5,return_120d
6,log_return_1d
7,raw_return_1d
8,annualized_volatility_20d
9,annualized_volatility_60d
10,atr_14_pct
11,intraday_range_pct
12,open_gap_pct
13,close_position_in_day_range
14,adj_close_to_ma_20
15,adj_close_to_ma_50
16,adj_close_to_ma_100
17,adj_close_to_ma_200
18,drawdown_from_60d_high
19,drawdown_from_252d_high
20,rsi_14
21,above_ma_20
22,above_ma_50
23,above_ma_200
24,ma_20_above_ma_50
25,ma_50_above_ma_200
26,volume_ratio_20d
27,volume_ratio_60d
28,turnover_ratio_20d
29,nifty50_return_1d
30,nifty50_return_5d
31,nifty50_return_20d
32,nifty50_return_60d
33,nifty50_annualized_volatility_20d
34,nifty50_annualized_volatility_60d
35,nifty50_close_to_ma_20
36,nifty50_close_to_ma_50
37,nifty50_close_to_ma_200
38,nifty100_return_1d
39,nifty100_return_5d
40,nifty100_return_20d
41,nifty100_return_60d
42,nifty100_annualized_volatility_20d
43,nifty100_annualized_volatility_60d
44,nifty100_close_to_ma_20
45,nifty100_close_to_ma_50
46,nifty100_close_to_ma_200
47,indiavix_close
48,indiavix_return_1d
49,indiavix_return_5d
50,indiavix_return_20d
51,indiavix_return_60d
52,indiavix_annualized_volatility_20d
53,indiavix_annualized_volatility_60d
54,indiavix_close_to_ma_20
55,indiavix_close_to_ma_50
56,indiavix_close_to_ma_200
57,sector_return_1d
58,sector_return_5d
59,sector_return_20d
60,sector_return_60d
61,sector_annualized_volatility_20d
62,sector_annualized_volatility_60d
63,sector_close_to_ma_20
64,sector_close_to_ma_50
65,sector_close_to_ma_200
66,relative_return_20d_vs_nifty50
67,relative_return_60d_vs_nifty50
68,relative_return_20d_vs_nifty100
69,relative_return_60d_vs_nifty100
70,relative_return_20d_vs_sector
71,relative_return_60d_vs_sector
72,volatility_ratio_vs_nifty50_20d
73,volatility_ratio_vs_nifty100_20d
74,volatility_ratio_vs_sector_20d
75,nifty50_uptrend_flag
76,nifty100_uptrend_flag
77,vix_above_20_flag
78,vix_above_25_flag
79,vix_20d_change
