feature,missing_count,missing_pct,infinite_count
close_position_in_day_range,281,0.09139608330378952,0
above_ma_20,0,0.0,0
above_ma_200,0,0.0,0
above_ma_50,0,0.0,0
adj_close_to_ma_100,0,0.0,0
adj_close_to_ma_20,0,0.0,0
adj_close_to_ma_200,0,0.0,0
adj_close_to_ma_50,0,0.0,0
annualized_volatility_20d,0,0.0,0
annualized_volatility_60d,0,0.0,0
atr_14_pct,0,0.0,0
drawdown_from_252d_high,0,0.0,0
drawdown_from_60d_high,0,0.0,0
indiavix_annualized_volatility_20d,0,0.0,0
indiavix_annualized_volatility_60d,0,0.0,0
indiavix_close,0,0.0,0
indiavix_close_to_ma_20,0,0.0,0
indiavix_close_to_ma_200,0,0.0,0
indiavix_close_to_ma_50,0,0.0,0
indiavix_return_1d,0,0.0,0
indiavix_return_20d,0,0.0,0
indiavix_return_5d,0,0.0,0
indiavix_return_60d,0,0.0,0
intraday_range_pct,0,0.0,0
log_return_1d,0,0.0,0
ma_20_above_ma_50,0,0.0,0
ma_50_above_ma_200,0,0.0,0
nifty100_annualized_volatility_20d,0,0.0,0
nifty100_annualized_volatility_60d,0,0.0,0
nifty100_close_to_ma_20,0,0.0,0
nifty100_close_to_ma_200,0,0.0,0
nifty100_close_to_ma_50,0,0.0,0
nifty100_return_1d,0,0.0,0
nifty100_return_20d,0,0.0,0
nifty100_return_5d,0,0.0,0
nifty100_return_60d,0,0.0,0
nifty100_uptrend_flag,0,0.0,0
nifty50_annualized_volatility_20d,0,0.0,0
nifty50_annualized_volatility_60d,0,0.0,0
nifty50_close_to_ma_20,0,0.0,0
nifty50_close_to_ma_200,0,0.0,0
nifty50_close_to_ma_50,0,0.0,0
nifty50_return_1d,0,0.0,0
nifty50_return_20d,0,0.0,0
nifty50_return_5d,0,0.0,0
nifty50_return_60d,0,0.0,0
nifty50_uptrend_flag,0,0.0,0
open_gap_pct,0,0.0,0
raw_return_1d,0,0.0,0
relative_return_20d_vs_nifty100,0,0.0,0
relative_return_20d_vs_nifty50,0,0.0,0
relative_return_20d_vs_sector,0,0.0,0
relative_return_60d_vs_nifty100,0,0.0,0
relative_return_60d_vs_nifty50,0,0.0,0
relative_return_60d_vs_sector,0,0.0,0
return_120d,0,0.0,0
return_1d,0,0.0,0
return_20d,0,0.0,0
return_5d,0,0.0,0
return_60d,0,0.0,0
rsi_14,0,0.0,0
sector_annualized_volatility_20d,0,0.0,0
sector_annualized_volatility_60d,0,0.0,0
sector_close_to_ma_20,0,0.0,0
sector_close_to_ma_200,0,0.0,0
sector_close_to_ma_50,0,0.0,0
sector_return_1d,0,0.0,0
sector_return_20d,0,0.0,0
sector_return_5d,0,0.0,0
sector_return_60d,0,0.0,0
turnover_ratio_20d,0,0.0,0
vix_20d_change,0,0.0,0
vix_above_20_flag,0,0.0,0
vix_above_25_flag,0,0.0,0
volatility_ratio_vs_nifty100_20d,0,0.0,0
volatility_ratio_vs_nifty50_20d,0,0.0,0
volatility_ratio_vs_sector_20d,0,0.0,0
volume_ratio_20d,0,0.0,0
volume_ratio_60d,0,0.0,0
