boundary,purged_from_split,date
train_to_validation,train,2023-12-01
train_to_validation,train,2023-12-04
train_to_validation,train,2023-12-05
train_to_validation,train,2023-12-06
train_to_validation,train,2023-12-07
train_to_validation,train,2023-12-08
train_to_validation,train,2023-12-11
train_to_validation,train,2023-12-12
train_to_validation,train,2023-12-13
train_to_validation,train,2023-12-14
train_to_validation,train,2023-12-15
train_to_validation,train,2023-12-18
train_to_validation,train,2023-12-19
train_to_validation,train,2023-12-20
train_to_validation,train,2023-12-21
train_to_validation,train,2023-12-22
train_to_validation,train,2023-12-26
train_to_validation,train,2023-12-27
train_to_validation,train,2023-12-28
train_to_validation,train,2023-12-29
validation_to_test,valid,2024-12-03
validation_to_test,valid,2024-12-04
validation_to_test,valid,2024-12-05
validation_to_test,valid,2024-12-06
validation_to_test,valid,2024-12-09
validation_to_test,valid,2024-12-10
validation_to_test,valid,2024-12-11
validation_to_test,valid,2024-12-12
validation_to_test,valid,2024-12-13
validation_to_test,valid,2024-12-16
validation_to_test,valid,2024-12-17
validation_to_test,valid,2024-12-18
validation_to_test,valid,2024-12-19
validation_to_test,valid,2024-12-20
validation_to_test,valid,2024-12-23
validation_to_test,valid,2024-12-24
validation_to_test,valid,2024-12-26
validation_to_test,valid,2024-12-27
validation_to_test,valid,2024-12-30
validation_to_test,valid,2024-12-31
