iteration,roc_auc_difference,average_precision_difference,log_loss_difference,brier_difference
1,0.013039275122847083,0.009964946974582611,0.04470096279335267,0.02166317807219373
2,0.013095002151804036,0.018831495889132688,0.05145116486843604,0.024710712997710715
3,0.007926730548391436,0.006000551844966617,0.044213925280629174,0.021428619146658112
4,0.020130667424455684,0.01850111677240171,0.03792600717364525,0.018224893077245397
5,0.012687967260721855,0.02043602104414377,0.052715973735466326,0.0253973703599793
6,0.006304437230601034,0.008259649993521911,0.02994410090902455,0.014355763484633133
7,-0.001224691317742943,0.014910583412185208,0.038246498394675865,0.018605155162758902
8,0.009673263706904245,0.005630081304263512,0.04937082192580278,0.02367536088694297
9,0.015845982508896572,0.018420761204554104,0.05803324982125946,0.027668569563350842
10,0.012602741385650651,0.02357767292783916,0.045555878368589986,0.022174515898374186
11,0.001637803767275292,0.006356246284259903,0.05481530985714711,0.02673918745686249
12,0.011678626941799553,0.017199576547959533,0.0327519365471608,0.015862184839105925
13,0.03297607785350465,0.029692306300107885,0.024039340015209132,0.01155938609192933
14,0.01653470477131891,0.01211510535931093,0.02574298517016016,0.012419673717953134
15,0.017715801443961898,0.020080264951186977,0.05692957781602748,0.027403724973690285
16,-0.0021737173374022367,0.012502377709745521,0.034818977823585784,0.016932036508463477
17,-0.0033604384993443093,-0.000488966541089042,0.028676052247032624,0.013957850013281647
18,0.015119558154838342,0.00918808609828789,0.03746322963955706,0.017818534762177207
19,0.014934018899590451,0.014443483339364183,0.045106879837343405,0.021756060301169916
20,0.013881859831505583,0.021276384806398818,0.04686974034832181,0.02271551142604189
21,0.009009056429813755,0.011165672224925316,0.05652081252858521,0.027276635475729977
22,0.022615021519452494,0.037378811810527074,0.05539998687386061,0.02666487115908847
23,-0.0035198764153159257,0.01148134167118936,0.02803778613276864,0.013685000795907287
24,0.007524659492885388,0.004524856289720269,0.03118136984677833,0.015226026530491987
25,0.01585879363399989,0.013239267210924333,0.03441818818486708,0.0167995395130916
26,0.010525838066978488,0.012072305035598058,0.0553767306849926,0.026801669256507038
27,0.007030987913716702,0.02342485975821365,0.05363823180092764,0.025775378344288807
28,0.01372613157462399,0.0200939311076635,0.03449813052282191,0.01674300751882679
29,0.011325663106416473,0.026295436553274876,0.021104981698347736,0.010225274450600036
30,0.010919628847368745,0.024227409463444705,0.02842638613217141,0.013737693794550143
31,0.020924558665621484,0.02346102181654114,0.04820596940499078,0.023261880845385885
32,-0.0007513824884791687,0.0075901112831406325,0.038117844648742794,0.0182206205529174
33,0.013773986416251494,0.019653954019792974,0.059785389301134084,0.028749898402931268
34,0.005545997109513867,0.0028141410264591604,0.014360409213743597,0.006987352737989477
35,0.006424580274539071,0.016091695567854947,0.038818684859541874,0.0186686574484482
36,0.00876203142507126,0.017160690812355855,0.05458237783277653,0.02623173132195447
37,0.004204946811022903,0.006547901995527683,0.034924776888116016,0.016871666046421874
38,-0.002767733539789541,0.006038442727968052,0.03432230879366471,0.016828677678649706
39,0.007067424431290936,0.008453153301544974,0.05112082853350963,0.024524710536918792
40,0.012638829838438004,0.01356837886503423,0.04759346320460878,0.022864386040080148
41,0.018107544918260277,0.027426742804186444,0.04150881671562012,0.01996747320129491
42,-0.007961826564769847,-0.002459100454816565,0.035190755032160737,0.01697867498822911
43,0.03060882992288927,0.025752427688281787,0.02086364228741089,0.009965443316153844
44,0.016004790193699492,0.020943514199258828,0.04413618482899684,0.021350597491236217
45,-0.002966021034406463,0.01171218766525961,0.05719377773699186,0.027714056186838587
46,0.019370105113843405,0.019245828319119807,0.0505150469865524,0.024431703756600087
47,0.02632863014851805,0.023411397323302663,0.0384610038623584,0.018592470424167673
48,0.010640760270360539,0.02604176100587577,0.03740716180194059,0.018073908248083026
49,0.003522770225078631,0.0038731378067720645,0.04923988212188357,0.02385732377325689
50,0.017613123310585177,0.02187567099802859,0.045813183188664675,0.021904789416430703
51,0.011291394646281594,0.011206338070725186,0.048620427249991605,0.023393779074475596
52,0.0077760145718868134,0.0072451404881829495,0.03822116703838674,0.018479115831946336
53,-0.0039521780324474065,0.015598606643248664,0.03382154561319539,0.01637140664916928
