epoch,train_loss,valid_loss,valid_roc_auc,valid_average_precision,valid_log_loss,valid_brier_score,valid_precision,valid_recall,valid_f1,learning_rate,next_learning_rate,epoch_seconds
1,1.0884860138660182,1.0172179769347975,0.6235503748926501,0.18583756761613252,0.5888104699616667,0.2015942755448112,0.16389973958333334,0.4804389312977099,0.24441747572815534,0.0002,0.0002,35.85218010000244
2,0.9970644978457329,1.141426995089343,0.5697291178647467,0.1471474357201693,0.7402472440113391,0.2660105582409989,0.127489153409723,0.5467557251908397,0.206765899864682,0.0002,0.0002,35.26003160000255
3,0.9439647587488867,1.145645341739521,0.595191355102689,0.15997527763112313,0.7362565173601607,0.2606316106536686,0.13460385952295337,0.5357824427480916,0.21515470830539324,0.0002,0.0002,35.51266100000066
4,0.9080259798470344,1.0914897020276007,0.6210007991492246,0.16771989589148556,0.6644802417597,0.23079608323214323,0.15253527028914654,0.5209923664122137,0.23598055105348462,0.0002,0.0001,35.656929999997374
5,0.8709951538494997,1.1610243682269459,0.6048801190795303,0.15968827829063684,0.7649672296339355,0.2701790725350739,0.13438689583573654,0.5558206106870229,0.21644217371110078,0.0001,0.0001,35.844792399992
6,0.8555506608310566,1.1954421740275125,0.605690899665529,0.16242821462278456,0.8131512191578382,0.28835265517423364,0.13131313131313133,0.5892175572519084,0.21476393357099383,0.0001,0.0001,35.526370999999926
7,0.8416091833064125,1.1819966220998908,0.6236596856800655,0.17067047564338916,0.8251564908527004,0.28971887223462883,0.13859686762497317,0.6164122137404581,0.22630933613592574,0.0001,0.0001,35.4293170000019
8,0.8320507685026781,1.2011247362579789,0.6210474713206909,0.17520498759007846,0.8281075921262321,0.29274854877993295,0.13558614935335836,0.6202290076335878,0.22252653200958575,0.0001,0.0001,35.52802660000452
9,0.8207695914765383,1.2027437253995938,0.6162351956245593,0.16822843253791098,0.8163049918816835,0.2895629530312259,0.1322624387190988,0.6049618320610687,0.21706753402379525,0.0001,0.0001,35.55513029999565
10,0.8138304520821461,1.1939359911807903,0.6085690346909087,0.16393583249155874,0.7672095388465858,0.2708059959991932,0.13404159132007235,0.5658396946564885,0.21673976608187134,0.0001,5e-05,35.354432299995096
11,0.797368427094304,1.2251470833569318,0.6085128386753651,0.16108348216772692,0.8087716929211108,0.2841511318876561,0.13355335533553356,0.5791984732824428,0.21705703558018952,5e-05,5e-05,35.51610609999625
12,0.7914074041929997,1.2446990402253182,0.6095280084249473,0.1637499444548567,0.8555381988131969,0.3033239309136225,0.13025083106678756,0.6168893129770993,0.215087748482076,5e-05,5e-05,35.66937869999674
13,0.7884806503795462,1.264508799473206,0.6115155039644802,0.16665455008433772,0.906953467457204,0.3213785946403917,0.12812918020256067,0.6397900763358778,0.21350103486705937,5e-05,2.5e-05,35.47729550000804
14,0.7803844125652578,1.2899644874595666,0.6035483682160352,0.16149444624539433,0.8985300099366561,0.316741541680922,0.1274055067600908,0.6159351145038168,0.21113746013574292,2.5e-05,2.5e-05,35.502302599998075
15,0.7771942648311501,1.27849318415553,0.6031354415478204,0.16136870397340392,0.8597385460041412,0.30301576632680816,0.12948000828672054,0.5963740458015268,0.2127659574468085,2.5e-05,2.5e-05,35.5169859000016
16,0.7743953206780113,1.2708095219042208,0.6083835598283083,0.16388608164436455,0.8695126132254264,0.3066900226177772,0.1298635674583123,0.6130725190839694,0.21432741222583604,2.5e-05,1.25e-05,35.403212000004714
17,0.7713446530770786,1.3094767572882178,0.5982591266704341,0.15652980245651804,0.8964784701296419,0.3141414964653581,0.12852822580645162,0.6083015267175572,0.21221704394141144,1.25e-05,1.25e-05,35.77402530000836
